"player","team","pos","actual","xgb_pred","residual"
"brittney sykes","WAS","G","$195,000","$231,003","$36,002.83"
"tina charles","CON","C","$170,000","$201,136","$31,136.31"
"stefanie dolson","WAS","C","$170,000","$200,898","$30,898.39"
"shakira austin","WAS","C-F","$91,981","$119,258","$27,277.29"
"kayla thornton","GSV","F","$112,000","$137,914","$25,914.23"
"stephanie talbot","GSV","F","$125,000","$148,540","$23,539.83"
"lindsay allen","CON","G","$90,000","$110,529","$20,528.90"
"emily engstler","WAS","F","$66,079","$83,961","$17,882.00"
"sabrina ionescu","NYL","G","$208,060","$225,276","$17,215.69"
"jonquel jones","NYL","C","$195,000","$211,300","$16,299.89"
"jaelyn brown","CON","G-F","$56,639","$71,805","$15,166.44"
"chloe bibby","GSV","F","$49,420","$64,296","$14,875.66"
"monique billings","GSV","F","$110,000","$123,486","$13,486.01"
"kate martin","GSV","G","$68,595","$80,949","$12,354.44"
"kaitlyn chen","GSV","G","$49,420","$61,643","$12,222.71"
"bria hartley","CON","G","$78,831","$90,652","$11,820.98"
"cecilia zandalasini","GSV","F","$100,000","$111,688","$11,688.35"
"haley peters","CON","F-G","$78,831","$89,987","$11,155.90"
"marina mabrey","CON","G","$210,000","$221,029","$11,029.25"
"sug sutton","WAS","G","$78,831","$89,522","$10,691.03"
"aari mcdonald","IND","G","$52,333","$62,892","$10,559.15"
"ariel atkins","CHI","G","$200,000","$210,182","$10,182.48"
"janelle salaun","GSV","F","$66,079","$76,203","$10,124.32"
"laeticia amihere","GSV","F","$53,307","$62,529","$9,221.82"
"jacy sheldon","CON","G","$74,909","$83,677","$8,768.29"
"sophie cunningham","IND","G","$100,000","$108,692","$8,692.05"
"grace berger","LAS","G","$1,666","$9,781","$8,114.57"
"aaliyah edwards","WAS","F","$74,909","$83,019","$8,110.06"
"rebekah gardner","NYL","G","$66,079","$73,720","$7,641.24"
"natasha howard","IND","F","$214,466","$221,901","$7,435.47"
"marquesha davis","NYL","G","$71,753","$79,068","$7,315.49"
"haley jones","DAL","F-G","$36,233","$42,996","$6,762.62"
"breanna stewart","NYL","F","$208,400","$214,971","$6,570.55"
"lucy olsen","WAS","G","$69,267","$75,604","$6,337.41"
"leonie fiebich","NYL","F","$68,595","$74,884","$6,289.23"
"damiris dantas","IND","C-F","$100,000","$106,135","$6,134.72"
"tiffany hayes","GSV","G","$200,000","$206,070","$6,070.12"
"courtney williams","MIN","G","$180,000","$185,567","$5,566.64"
"jaylyn sherrod","NYL","G","$66,079","$71,262","$5,183.38"
"jade melbourne","WAS","G","$66,710","$71,453","$4,742.96"
"sika kone","WAS","F","$66,710","$71,453","$4,742.96"
"courtney vandersloot","CHI","G","$185,000","$189,622","$4,621.88"
"makayla timpson","IND","F-C","$69,267","$73,866","$4,599.10"
"alexis prince","PHO","F","$3,975","$8,387","$4,412.27"
"isabelle harrison","NYL","F","$78,831","$82,468","$3,637.41"
"robyn parks","CON","F","$11,106","$14,496","$3,389.75"
"kennedy burke","NYL","G-F","$78,831","$81,816","$2,984.90"
"nyara sabally","NYL","C","$79,999","$82,960","$2,961.34"
"mackenzie holmes","SEA","F","$48,865","$51,798","$2,933.34"
"kia nurse","CHI","G","$145,000","$147,849","$2,849.14"
"bree hall","GSV","G","$47,755","$50,514","$2,758.79"
"rayah marshall","CON","C-F","$69,267","$71,770","$2,502.86"
"angel reese","CHI","F","$74,909","$76,939","$2,029.62"
"aneesah morrow","CON","F","$75,643","$77,394","$1,751.12"
"sevgi uzun","PHO","G","$11,106","$12,797","$1,690.83"
"maya caldwell","ATL","G","$66,079","$67,742","$1,663.48"
"erica wheeler","SEA","G","$78,831","$80,483","$1,652.09"
"a'ja wilson","LVA","C","$200,000","$201,325","$1,325.20"
"natasha cloud","NYL","G","$200,000","$200,993","$993.00"
"temi fagbenle","GSV","C","$90,000","$90,818","$817.50"
"nia coffey","ATL","F","$150,000","$150,810","$809.64"
"olivia ododa","CON","C","$80,823","$81,554","$731.49"
"julie vanloo","LAS","G","$66,079","$66,723","$643.55"
"dewanna bonner","PHO","G-F","$72,269","$72,889","$619.52"
"sydney colson","IND","G","$90,000","$90,596","$595.82"
"moriah jefferson","CHI","G","$145,500","$145,979","$478.53"
"ezi magbegor","SEA","F-C","$186,000","$186,462","$461.59"
"li yueru","DAL","C","$66,079","$66,497","$418.02"
"brianna turner","IND","F-C","$85,000","$85,311","$311.14"
"kamilla cardoso","CHI","C","$78,066","$78,214","$148.44"
"kyara linskens","GSV","C","$14,437","$14,496","$58.75"
"luisa geiselsoder","DAL","C","$66,079","$66,047","-$32.34"
"saniya rivers","CON","G","$75,643","$75,604","-$38.59"
"caitlin clark","IND","G","$78,066","$78,008","-$58.02"
"teaira mccowan","DAL","C","$201,400","$201,325","-$74.80"
"shey peddy","LAS","G","$44,715","$44,402","-$313.05"
"rebecca allen","CHI","F-G","$160,000","$159,570","-$429.72"
"chelsea gray","LVA","G","$196,267","$195,800","-$466.50"
"te paopao","ATL","G","$69,267","$68,728","-$539.38"
"kaila charles","DAL","G-F","$43,225","$42,598","-$627.11"
"carla leite","GSV","G","$72,455","$71,777","-$677.63"
"taylor thierry","ATL","G-F","$66,079","$64,898","-$1,181.11"
"leila lacan","CON","G","$72,455","$71,251","-$1,204.11"
"sonia citron","WAS","G","$78,831","$77,394","-$1,436.88"
"maddy westbeld","CHI","F","$69,267","$67,668","-$1,599.49"
"jessica shepard","MIN","F","$78,831","$77,227","-$1,603.64"
"shatori kimbrough","ATL","G","$150,000","$148,297","-$1,703.28"
"kathryn westbeld","PHO","F","$66,079","$64,338","-$1,740.96"
"emma cannon","LAS","F","$78,831","$77,024","-$1,807.40"
"mercedes russell","LAS","C","$160,000","$158,082","-$1,918.08"
"zia cooke","SEA","G","$66,079","$64,142","-$1,936.60"
"aaliyah nye","LVA","G-F","$69,267","$67,234","-$2,032.76"
"maria kliundikova","MIN","F","$54,418","$52,363","-$2,054.62"
"nneka ogwumike","SEA","F","$195,000","$192,938","-$2,062.05"
"crystal bradford","LVA","F","$16,103","$13,987","-$2,116.14"
"kelsey plum","LAS","G","$202,000","$199,576","-$2,423.73"
"kiki iriafen","WAS","F","$78,831","$76,311","-$2,519.80"
"veronica burton","GSV","G","$78,831","$76,289","-$2,541.52"
"dearica hamby","LAS","F","$202,000","$199,221","-$2,779.34"
"lexie hull","IND","G","$88,261","$85,415","-$2,845.75"
"jj quinerly","DAL","G","$66,079","$63,206","-$2,873.09"
"liatu king","DAL","F","$47,894","$44,773","-$3,120.75"
"myisha allen","DAL","F","$203,000","$199,722","-$3,278.42"
"julie allemand","LAS","G","$85,000","$81,660","-$3,339.74"
"marieme badiane","MIN","C","$12,216","$8,759","-$3,457.48"
"elizabeth kitley","LVA","C","$69,267","$65,729","-$3,537.89"
"sania feagin","LAS","F","$69,267","$65,729","-$3,537.89"
"naz hillmon","ATL","F","$80,823","$76,889","-$3,934.27"
"napheesa collier","MIN","F","$214,284","$210,278","-$4,005.72"
"rachel banham","CHI","G","$95,000","$90,652","-$4,348.02"
"alissa pili","MIN","F","$74,909","$70,334","-$4,574.88"
"brionna jones","ATL","F","$214,466","$209,822","-$4,644.34"
"azura stevens","LAS","F-C","$195,000","$190,315","-$4,685.36"
"kierstan bell","LVA","F","$84,543","$79,814","-$4,728.88"
"rickea jackson","LAS","F","$78,066","$73,247","-$4,818.63"
"allisha gray","ATL","G","$190,000","$184,902","-$5,097.72"
"paige bueckers","DAL","G","$78,831","$73,727","-$5,104.16"
"megan mcconnell","PHO","G","$56,084","$50,906","-$5,177.67"
"kayla mcbride","MIN","G","$205,000","$199,756","-$5,243.61"
"natasha mack","PHO","F","$66,079","$60,834","-$5,244.97"
"aliyah boston","IND","F-C","$83,371","$78,008","-$5,363.02"
"dominique malonga","SEA","C","$78,831","$73,161","-$5,669.61"
"lexie brown","SEA","G","$96,408","$90,596","-$5,812.18"
"alanna smith","MIN","F","$150,000","$144,183","-$5,817.44"
"jordin canada","ATL","G","$190,000","$184,139","-$5,861.48"
"kitija laksa","PHO","F","$80,000","$73,897","-$6,102.80"
"jackie young","LVA","G","$169,950","$163,799","-$6,150.53"
"aziaha james","DAL","G","$72,455","$66,292","-$6,163.37"
"lexi held","PHO","G","$66,079","$59,407","-$6,672.15"
"murjanatu musa","PHO","C","$66,079","$59,383","-$6,695.70"
