Player,Team,Year,Salary,Protection Status
Cheyenne Parker-Tyus ,Atlanta Dream,2024,"$200,000 ",Protected Veteran
Jordin Canada ,Atlanta Dream,2024,"$185,000 ",Protected Veteran
Allisha Gray ,Atlanta Dream,2024,"$185,000 ",Protected Veteran
Aerial Powers ,Atlanta Dream,2024,"$155,000 ",Protected Veteran
Nia Coffey ,Atlanta Dream,2024,"$150,000 ",Protected Veteran
Tina Charles,Atlanta Dream,2024,"$130,000 ",Unprotected
Rhyne Howard ,Atlanta Dream,2024,"$80,943 ",Unprotected
Iliana Rupert,Atlanta Dream,2024,N/A,Full-Season Suspension
Laeticia Amihere,Atlanta Dream,2024,"$72,727 ",Unprotected
Haley Jones ,Atlanta Dream,2024,"$72,727 ",Unprotected
Naz Hillmon ,Atlanta Dream,2024,"$71,124 ",Unprotected
Lorela Cubaj,Atlanta Dream,2024,"$64,154 ",Unprotected
Maya Caldwell ,Atlanta Dream,2024,"$36,841 ",Unprotected
Ezinne Kalu,Atlanta Dream,2024,"$1,270 ",Hardship Active
Danielle Robinson ,Atlanta Dream,2024,N/A,Unrestricted Free Agent
Maite Cazorla,Atlanta Dream,2024,N/A,Suspended Contract Expired
Crystal Dangerfield ,Atlanta Dream,2024,"$36,436 ",Waived
Destanni Henderson,Atlanta Dream,2024,"$8,892 ",7-day Complete
Elizabeth Williams ,Chicago Sky,2024,"$165,000 ",Protected Veteran
Isabelle Harrison ,Chicago Sky,2024,"$160,000 ",Protected Veteran
Brianna Turner ,Chicago Sky,2024,"$150,000 ",Protected Veteran
Moriah Jefferson ,Chicago Sky,2024,"$141,500 ",Protected Veteran
Diamond DeShields,Chicago Sky,2024,"$100,000 ",Unprotected
Rachel Banham ,Chicago Sky,2024,"$95,000 ",Protected Veteran
Lindsay Allen ,Chicago Sky,2024,"$90,000 ",Unprotected
Michaela Onyenwere ,Chicago Sky,2024,"$85,690.00",Protected Rookie
Dana Evans ,Chicago Sky,2024,"$78,469.00",Protected Rookie
Kamilla Cardoso,Chicago Sky,2024,"$76,535 ",Unprotected
Chennedy Carter ,Chicago Sky,2024,"$76,535 ",Unprotected
Angel Reese,Chicago Sky,2024,"$73,439 ",Unprotected
Kaela Davis,Chicago Sky,2024,"$1,516 ",Active Hardship Contract
Nikolina Milić,Chicago Sky,2024,N/A,Reserved Free Agent
Maria Conde,Chicago Sky,2024,N/A,Suspended Contract Expired
Kysre Gondrezick ,Chicago Sky,2024,"$30,489.00",Waived
Kaela Davis,Chicago Sky,2024,"$5,304 ",7-day Complete
Alyssa Thomas,Connecticut Suns,2024,"$218,000 ",Protected Veteran
Marina Mabrey ,Connecticut Suns,2024,"$217,592 ",Protected Veteran
Brionna Jones ,Connecticut Suns,2024,"$212,000 ",Protected Veteran
DeWanna Bonner ,Connecticut Suns,2024,"$209,593 ",Unprotected
Tiffany Mitchell ,Connecticut Suns,2024,"$139,050 ",Protected Veteran
Astou Ndour-Fall,Connecticut Suns,2024,"$125,000 ",Protected Veteran
Tyasha Harris ,Connecticut Suns,2024,"$97,100 ",Unprotected
DiJonai Carrington ,Connecticut Suns,2024,"$78,469.00",Protected Rookie
Olivia Nelson-Ododa,Connecticut Suns,2024,"$71,124 ",Unprotected
Veronica Burton ,Connecticut Suns,2024,"$50,180 ",Unprotected
Caitlin Bickle,Connecticut Suns,2024,"$13,339 ",Unprotected
Queen Egbo,Connecticut Suns,2024,"$18,415 ",Waived
Caitlin Bickle,Connecticut Suns,2024,"$8,892 ",7-day Complete
Celeste Taylor,Connecticut Suns,2024,"$4,446 ",7-day Complete
Arike Ogunbowale ,Dallas Wings,2024,"$241,984 ",Protected Veteran
Natasha Howard ,Dallas Wings,2024,"$234,350 ",Protected Veteran
Teaira McCowan ,Dallas Wings,2024,"$195,700 ",Protected Veteran
Satou Sabally ,Dallas Wings,2024,"$195,000 ",Protected Veteran
Kalani Brown,Dallas Wings,2024,"$125,000 ",Protected Veteran
Awak Kuier ,Dallas Wings,2024,N/A,Full-Season Suspension
Stephanie Soares,Dallas Wings,2024,"$76,535 ",Unprotected
Maddy Siegrist ,Dallas Wings,2024,"$75,792 ",Unprotected
Jacy Sheldon,Dallas Wings,2024,"$73,439 ",Unprotected
Lou Lopez Sénéchal ,Dallas Wings,2024,"$72,727 ",Unprotected
