"","player","team","pos","g","mp","per","ts_percent","e_fg_percent","x3p_ar","f_tr","orb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","o_rtg","d_rtg","ows","dws","ws","ws_40","year"
"1","A'ja Wilson","LVA","C","36","1080","28.2",".585",".531",".160",".360","7.0","17.6","12.3","2.4","5.8","9.2","27.3","115","97","4.1","2.4","6.5",".241",2022
"2","A'ja Wilson","LVA","C","40","1228","32.9",".627",".565",".048",".478","8.2","17.9","9.2","2.2","6.0","7.9","28.9","123","93","6.8","3.5","10.4",".338",2023
"3","A'ja Wilson","LVA","C","38","1308","34.9",".591",".531",".081",".370","7.2","19.9","14.1","2.6","6.3","5.3","32.2","119","92","7.0","3.8","10.9",".332",2024
"4","A'ja Wilson","LVA","C","18","551","32.1",".576",".493",".092",".521","6.3","17.5","23.9","2.6","6.7","11.0","32.2","113","97","2.3","1.3","3.6",".260",2025
"5","AD Durr","ATL","G","25","368","12.6",".514",".470",".375",".257","2.2","4.7","15.1","1.2","1.0","11.5","23.1","100","107","0.3","0.3","0.6",".060",2022
"6","AD Durr","ATL","G","36","392","9.1",".480",".439",".362",".239","0.9","5.4","11.1","1.3","0.6","13.5","23.2","89","106","-0.4","0.4","-0.1","-0.008",2023
"7","Aaliyah Edwards","WAS","F","34","741","13.4",".526",".490",".033",".381","7.6","15.4","11.1","1.7","3.4","16.9","18.1","99","101","0.3","1.2","1.6",".085",2024
"8","Aaliyah Edwards","WAS","F","18","259","15.1",".532",".494",".080",".552","10.5","14.6","5.9","2.0","1.9","16.3","22.4","98","101","0.1","0.5","0.5",".085",2025
"9","Aaliyah Nye","LVA","G-F","22","397","8.0",".559",".540",".646",".131","1.8","4.7","5.2","0.9","1.1","11.8","13.5","103","110","0.3","0.1","0.4",".039",2025
"10","Aari McDonald","ATL","G","36","876","14.4",".548",".486",".445",".317","2.0","5.4","18.8","3.0","0.1","17.5","22.2","101","103","0.8","1.3","2.0",".092",2022
"11","Aari McDonald","ATL","G","24","565","10.2",".518",".479",".476",".256","1.2","4.8","21.1","1.3","0.0","17.6","17.2","98","107","0.2","0.5","0.6",".043",2023
"12","Aari McDonald","LAS","G","26","568","13.8",".529",".479",".476",".267","2.5","5.5","29.9","2.0","0.9","18.4","20.5","101","110","0.5","0.2","0.7",".049",2024
"13","Aari McDonald","IND","G","12","301","13.8",".517",".465",".529",".365","2.4","4.8","26.2","2.2","0.6","15.4","17.5","109","105","0.5","0.3","0.9",".114",2025
"14","Abby Meyers","WAS","G","9","36","8.8",".454",".385",".308",".231","3.2","6.5","0.0","1.4","5.2","6.5","19.5","89","102","0.0","0.1","0.0",".027",2023
"15","Aerial Powers","MIN","G","35","943","16.0",".493",".423",".243",".367","5.7","10.0","18.6","2.3","1.1","14.8","28.5","97","106","0.4","0.9","1.3",".055",2022
"16","Aerial Powers","MIN","G","20","195","14.3",".507",".446",".207",".261","3.6","10.7","14.4","0.8","0.9","14.9","28.0","94","109","-0.1","0.1","0.0",".003",2023
"17","Aerial Powers","ATL","G","17","304","14.3",".465",".406",".261",".312","5.5","10.5","15.0","2.7","1.2","10.3","26.0","96","101","0.0","0.5","0.5",".068",2024
"18","Aerial Powers","GSV","G","2","7","23.5",".347",".000",".000","1.000","16.1","16.2","21.2","7.4","0.0","0.0","18.5","111","89","0.0","0.0","0.0",".229",2025
"19","Aisha Sheppard","LVA","G","23","174","1.8",".384",".345",".786",".190","4.0","4.5","5.4","1.4","0.5","13.3","13.5","81","109","-0.2","0.1","-0.2","-0.040",2022
"20","Alaina Coates","IND","C","8","75","15.6",".795",".636",".000","1.364","8.8","12.4","4.4","1.3","3.4","22.1","13.0","134","110","0.3","0.0","0.3",".172",2022
"21","Alaina Coates","LVA","C","12","35","4.5",".709",".833",".000",".667","7.0","16.5","0.0","4.3","0.0","47.4","19.0","67","94","-0.1","0.1","0.0","-0.051",2023
"22","Alanna Smith","IND","F","9","116","10.7",".433",".405",".595",".167","7.6","12.1","7.4","3.4","4.4","15.1","19.8","86","104","-0.2","0.1","0.0","-0.009",2022
"23","Alanna Smith","CHI","F","38","1007","17.1",".580",".555",".385",".306","8.0","14.6","10.7","2.5","4.1","15.7","15.8","110","101","1.8","1.8","3.5",".140",2023
"24","Alanna Smith","MIN","F","39","1035","18.1",".575",".546",".378",".231","7.1","12.3","19.8","2.6","4.8","18.1","18.7","108","93","1.8","2.9","4.7",".183",2024
"25","Alanna Smith","MIN","F","23","611","18.3",".555",".563",".489",".185","7.2","12.0","16.8","2.2","7.5","15.3","17.6","107","94","0.9","1.7","2.6",".172",2025
"26","Alexis Prince","PHO","F","1","22","-1.5",".333",".333",".333",".000","0.0","20.9","6.5","0.0","0.0","50.0","12.2","40","99","-0.1","0.0","-0.1","-0.133",2025
"27","Alissa Pili","MIN","F","22","138","4.8",".532",".522",".600",".244","5.3","11.4","6.0","1.9","1.3","27.6","23.0","78","97","-0.4","0.3","-0.1","-0.027",2024
"28","Alissa Pili","MIN","F","14","82","8.3",".568",".545",".500",".182","5.8","12.1","5.6","1.3","0.0","22.8","17.2","92","100","0.0","0.2","0.1",".059",2025
"29","Aliyah Boston","IND","F-C","40","1249","23.2",".619",".583",".025",".360","11.9","16.3","12.7","2.2","3.6","13.8","19.4","120","104","4.5","1.5","6.0",".192",2023
"30","Aliyah Boston","IND","F-C","40","1236","20.4",".566",".537",".058",".247","10.7","16.8","17.3","1.4","3.5","13.8","20.6","114","107","3.6","0.9","4.5",".147",2024
"31","Aliyah Boston","IND","F-C","23","686","24.7",".614",".571",".071",".335","8.7","15.1","22.2","1.2","3.3","9.9","21.2","126","101","3.4","1.1","4.5",".264",2025
"32","Allie Quigley","CHI","G","34","895","15.2",".569",".510",".464",".263","2.6","5.7","16.3","1.4","0.6","11.7","19.5","111","105","2.0","0.9","2.9",".129",2022
"33","Allisha Gray","DAL","G","33","1086","16.0",".562",".516",".455",".301","3.1","8.8","12.8","1.8","2.0","9.7","17.8","115","107","2.7","0.9","3.5",".130",2022
"34","Allisha Gray","ATL","G","38","1244","18.8",".578",".510",".251",".435","4.2","8.4","17.3","1.6","1.0","11.2","22.2","113","105","3.5","1.4","5.0",".161",2023
"35","Allisha Gray","ATL","G","40","1327","16.0",".526",".471",".397",".365","3.7","7.5","15.1","1.6","2.0","10.2","22.4","106","104","2.3","1.5","3.8",".113",2024
"36","Allisha Gray","ATL","G","22","781","19.9",".595",".528",".473",".456","3.3","9.0","19.6","1.3","1.1","10.1","21.8","120","103","3.0","1.2","4.2",".216",2025
"37","Alysha Clark","WAS","F","29","766","12.7",".565",".541",".505",".117","3.5","10.2","12.7","1.8","1.0","15.6","14.7","105","99","0.8","1.5","2.3",".122",2022
"38","Alysha Clark","LVA","F","39","876","10.7",".592",".568",".644",".161","3.0","8.8","6.5","1.4","0.6","11.3","12.7","112","102","1.3","1.3","2.6",".118",2023
"39","Alysha Clark","LVA","F","40","972","9.1",".587",".565",".656",".146","2.6","8.6","10.5","1.7","1.0","21.2","12.3","100","103","0.5","1.3","1.8",".074",2024
"40","Alysha Clark","SEA","F","22","414","7.4",".520",".487",".628",".167","2.3","7.5","6.7","2.2","0.4","15.2","10.9","97","103","0.0","0.6","0.6",".062",2025
"41","Alyssa Thomas","CON","F","36","1154","20.3",".549",".500",".005",".394","8.0","15.5","30.1","2.7","0.6","18.9","20.6","111","96","3.0","2.7","5.8",".200",2022
"42","Alyssa Thomas","CON","F","40","1446","20.8",".520",".474",".006",".363","6.6","16.3","37.8","2.6","1.2","18.7","23.0","106","97","2.8","3.3","6.1",".169",2023
