PLAYER,TEAM,AGE
ALYSHA CLARK,SEA,38
DEWANNA BONNER,PHX,37
TINA CHARLES,CON,36
SHEY PEDDY,LAS,36
SAMI WHITCOMB,PHX,36
EMMA CANNON,LAS,36
COURTNEY VANDERSLOOT,CHI,36
TIFFANY HAYES,GSV,35
SYDNEY COLSON,IND,35
REBEKAH GARDNER,NYL,35
NNEKA OGWUMIKE,SEA,35
SKYLAR DIGGINS,SEA,34
ERICA WHEELER,SEA,34
BRITTNEY GRINER,ATL,34
STEFANIE DOLSON,WAS,33
NATASHA HOWARD,IND,33
NATASHA CLOUD,NYL,33
KAYLA MCBRIDE,MIN,33
ALYSSA THOMAS,PHX,33
TEMI FÁGBÉNLÉ,GSV,32
ROBYN PARKS,CON,32
REBECCA ALLEN,CHI,32
ODYSSEY SIMS,LAS,32
KIAH STOKES,LVA,32
KAYLA THORNTON,GSV,32
JULIE VANLOO,LAS,32
HALEY PETERS,CON,32
ELIZABETH WILLIAMS,CHI,32
DAMIRIS DANTAS,IND,32
CHELSEA GRAY,LVA,32
BRIA HARTLEY,CON,32
STEPHANIE TALBOT,GSV,31
RACHEL BANHAM,CHI,31
MORIAH JEFFERSON,CHI,31
JONQUEL JONES,NYL,31
JEWELL LOYD,LVA,31
ISABELLE HARRISON,NYL,31
DEARICA HAMBY,LAS,31
CRYSTAL BRADFORD,LVA,31
COURTNEY WILLIAMS,MIN,31
BRITTNEY SYKES,WAS,31
ALEXIS PRINCE,PHX,31
AERIAL POWERS,GSV,31
TIFFANY MITCHELL,LVA,30
SHATORI WALKER-KIMBROUGH,ATL,30
NIA COFFEY,ATL,30
MYISHA HINES-ALLEN,DAL,30
MARIÈME BADIANE,MIN,30
MARINE JOHANNÈS,NYL,30
LINDSAY ALLEN,CON,30
LEXIE BROWN,SEA,30
KELSEY PLUM,LAS,30
KARLIE SAMUELSON,MIN,30
KARIATA DIABY,CON,30
KAHLEAH COPPER,PHX,30
BREANNA STEWART,NYL,30
ALLISHA GRAY,ATL,30
MONIQUE BILLINGS,GSV,29
MERCEDES RUSSELL,LAS,29
KITIJA LAKSA,PHX,29
KIA NURSE,CHI,29
KELSEY MITCHELL,IND,29
KATHRYN WESTBELD,PHX,29
JULIE ALLEMAND,LAS,29
JORDIN CANADA,ATL,29
CECILIA ZANDALASINI,GSV,29
BRIONNA JONES,ATL,29
BRIANNA TURNER,IND,29
AZURÁ STEVENS,LAS,29
TEAIRA MCCOWAN,DAL,28
SOPHIE CUNNINGHAM,IND,28
NATISHA HIEDEMAN,MIN,28
NAPHEESA COLLIER,MIN,28
MARINA MABREY,CON,28
KYARA LINSKENS,GSV,28
KENNEDY BURKE,NYL,28
KALANI BROWN,PHX,28
JESSICA SHEPARD,MIN,28
GABBY WILLIAMS,SEA,28
BRIDGET CARLETON,MIN,28
ARIKE OGUNBOWALE,DAL,28
ARIEL ATKINS,CHI,28
ALANNA SMITH,MIN,28
A'JA WILSON,LVA,28
TYASHA HARRIS,DAL,27
SEVGI UZUN,PHX,27
SATOU SABALLY,PHX,27
SABRINA IONESCU,NYL,27
NATASHA MACK,PHX,27
KAILA CHARLES,DAL,27
JOYNER HOLMES,LVA,27
JACKIE YOUNG,LVA,27
DIJONAI CARRINGTON,DAL,27
CHLOE BIBBY,GSV,27
SUG SUTTON,WAS,26
MAYA CALDWELL,ATL,26
MARIA KLIUNDIKOVA,MIN,26
LI YUERU,DAL,26
KIANA WILLIAMS,PHX,26
JAELYN BROWN,CON,26
GRACE BERGER,LAS,26
DANA EVANS,LVA,26
AARI MCDONALD,IND,26
RHYNE HOWARD,ATL,25
RAE BURRELL,LAS,25
NYARA SABALLY,NYL,25
NAZ HILLMON,ATL,25
MURJANATU MUSA,PHX,25
MICHAELA ONYENWERE,CHI,25
MADDY SIEGRIST,DAL,25
LUISA GEISELSÖDER,DAL,25
LEXIE HULL,IND,25
LEXI HELD,PHX,25
LEONIE FIEBICH,NYL,25
KIERSTAN BELL,LVA,25
KATE MARTIN,GSV,25
EZI MAGBEGOR,SEA,25
EMILY ENGSTLER,WAS,25
ZIA COOKE,SEA,24
VERONICA BURTON,GSV,24
SHAKIRA AUSTIN,WAS,24
RICKEA JACKSON,LAS,24
OLIVIA NELSON-ODODA,CON,24
NALYSSA SMITH,LVA,24
MONIQUE AKOA MAKANI,PHX,24
MARQUESHA DAVIS,NYL,24
MACKENZIE HOLMES,SEA,24
