Player,Team,Pos,G,MP,G2,GS,MP3,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PPG
Arike Ogunbowale,DAL,G,20,676,20,20,676,102,295,0.346,36,118,0.305,66,177,0.373,73,78,0.936,6,51,80,29,6,46,53,313,15.65
Kayla McBride,MIN,G,20,632,20,20,632,90,217,0.415,52,138,0.377,38,79,0.481,54,57,0.947,3,48,64,24,2,33,28,286,14.30
Erica Wheeler,SEA,G,23,625,23,16,625,95,227,0.419,38,100,0.38,57,127,0.449,29,34,0.853,12,72,83,26,5,39,53,257,11.17
Sami Whitcomb,PHO,G,21,553,21,16,553,76,186,0.409,47,127,0.37,29,59,0.492,27,33,0.818,11,70,58,19,4,33,45,226,10.76
Courtney Vandersloot,CHI,G,7,191,7,7,191,29,66,0.439,5,23,0.217,24,43,0.558,11,13,0.846,2,22,37,11,2,17,13,74,10.57
Kennedy Burke,NYL,G-F,21,478,21,6,478,65,130,0.5,37,75,0.493,28,55,0.509,22,30,0.733,14,51,27,25,13,21,29,189,9.00
Bria Hartley,CON,G,22,503,22,16,503,60,176,0.341,31,91,0.341,29,85,0.341,43,51,0.843,6,45,67,19,0,39,59,194,8.82
Lexi Held,PHO,G,14,290,14,0,290,43,110,0.391,20,64,0.313,23,46,0.5,16,20,0.8,8,24,20,21,5,18,18,122,8.71
DeWanna Bonner,TOT,G-F,12,272,12,4,272,33,81,0.407,13,34,0.382,20,47,0.426,25,30,0.833,6,52,20,13,1,10,15,104,8.67
Aari McDonald,IND,G,12,301,12,5,301,34,85,0.4,11,45,0.244,23,40,0.575,23,31,0.742,6,24,52,13,2,18,28,102,8.50
Aziaha James,DAL,G,19,382,19,6,382,53,142,0.373,20,58,0.345,33,84,0.393,32,38,0.842,15,54,40,14,5,23,25,158,8.32
Rachel Banham,CHI,G,22,473,22,11,473,57,149,0.383,43,113,0.381,14,36,0.389,22,23,0.957,4,26,51,12,3,22,42,179,8.14
Jacy Sheldon,CON,G,22,542,22,17,542,65,132,0.492,27,67,0.403,38,65,0.585,14,16,0.875,17,39,45,20,4,27,55,171,7.77
