"player","team.x","pos.x","g.x","mp.x","per","ts_percent","e_fg_percent","x3p_ar","f_tr","orb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","o_rtg","d_rtg","ows","dws","ws","ws_40","year.x","Team","Year","Salary","Protection Status","salary_clean","team.y","pos.y","g.y","mp.y","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","trb","ast","stl","blk","tov","pts","year.y","predicted_salary","residual","undervalued","overvalued","top_paid","label_type","label_player"
"a'ja wilson","LVA","C","18","551",32.1,".576",".493",".092",".521","6.3","17.5","23.9","2.6","6.7","11.0","32.2","113","97","2.3","1.3","3.6",".260",2025,"Las Vegas Aces",2025,"$200,000 ","Protected Veteran",2e+05,"LVA","C","18","551","7.6","15.8",".482","0.3","1.4",".231","7.3","14.3",".508","6.8","8.2",".824","1.7","9.2","3.2","1.6","2.4","2.4","22.3",2025,188673.40021095,11326.5997890499,FALSE,FALSE,FALSE,NA,NA
"aaliyah edwards","WAS","F","18","259",15.1,".532",".494",".080",".552","10.5","14.6","5.9","2.0","1.9","16.3","22.4","98","101","0.1","0.5","0.5",".085",2025,"Washington Mystics",2025,"$74,909 ","Unprotected",74909,"WAS","F","18","259","2.4","4.8",".494","0.0","0.4",".000","2.4","4.4",".538","1.6","2.7",".604","1.3","3.6","0.4","0.6","0.3","1.2","6.4",2025,119054.512327738,-44145.5123277379,TRUE,FALSE,FALSE,"Undervalued","Aaliyah Edwards"
"aaliyah nye","LVA","G-F","22","397",8,".559",".540",".646",".131","1.8","4.7","5.2","0.9","1.1","11.8","13.5","103","110","0.3","0.1","0.4",".039",2025,"Las Vegas Aces",2025,"$69,267 ","Unprotected",69267,"LVA","G-F","22","397","1.9","4.5",".414","1.1","2.9",".391","0.7","1.6",".457","0.5","0.6",".769","0.3","1.5","0.5","0.3","0.2","0.6","5.3",2025,89978.3885647493,-20711.3885647493,TRUE,FALSE,FALSE,"Undervalued","Aaliyah Nye"
"aari mcdonald","IND","G","12","301",13.8,".517",".465",".529",".365","2.4","4.8","26.2","2.2","0.6","15.4","17.5","109","105","0.5","0.3","0.9",".114",2025,"Indiana Fever",2025,"$52,333 ","Unprotected",52333,"IND","G","12","301","2.8","7.1",".400","0.9","3.8",".244","1.9","3.3",".575","1.9","2.6",".742","0.5","2.0","4.3","1.1","0.2","1.5","8.5",2025,113730.715019022,-61397.7150190217,TRUE,FALSE,FALSE,"Undervalued","Aari Mcdonald"
"alanna smith","MIN","F","23","611",18.3,".555",".563",".489",".185","7.2","12.0","16.8","2.2","7.5","15.3","17.6","107","94","0.9","1.7","2.6",".172",2025,"Minnesota Lynx",2025,"$150,000 ","Protected Veteran",150000,"MIN","F","23","611","3.9","8.0",".484","1.3","3.9",".322","2.6","4.1",".638","0.6","1.5",".412","1.6","5.5","2.8","1.1","2.2","1.6","9.6",2025,132159.244164578,17840.7558354221,FALSE,FALSE,FALSE,NA,NA
"alexis prince","PHO","F","1","22",0,".333",".333",".333",".000","0.0","20.9","6.5","0.0","0.0","50.0","12.2","40","99","-0.1","0.0","-0.1","-0.133",2025,"Phoenix Mercury",2025,"$3,975 ","Waived",3975,"PHO","F","1","22","1.0","3.0",".333","0.0","1.0",".000","1.0","2.0",".500","0.0","0.0","","0.0","8.0","1.0","0.0","0.0","3.0","2.0",2025,51073.7159241308,-47098.7159241308,TRUE,FALSE,FALSE,"Undervalued","Alexis Prince"
"alissa pili","MIN","F","14","82",8.3,".568",".545",".500",".182","5.8","12.1","5.6","1.3","0.0","22.8","17.2","92","100","0.0","0.2","0.1",".059",2025,"Minnesota Lynx",2025,"$74,909 ","Unprotected",74909,"MIN","F","14","82","0.7","1.6",".455","0.3","0.8",".364","0.4","0.8",".545","0.2","0.3",".750","0.3","1.2","0.2","0.1","0.0","0.5","1.9",2025,91206.9571744531,-16297.9571744531,TRUE,FALSE,FALSE,"Undervalued","Alissa Pili"
"aliyah boston","IND","F-C","23","686",24.7,".614",".571",".071",".335","8.7","15.1","22.2","1.2","3.3","9.9","21.2","126","101","3.4","1.1","4.5",".264",2025,"Indiana Fever",2025,"$83,371 ","Unprotected",83371,"IND","F-C","23","686","6.2","11.0",".563","0.2","0.8",".222","6.0","10.3",".589","3.0","3.7",".800","2.1","7.6","3.7","0.7","1.1","1.4","15.6",2025,158368.707838258,-74997.7078382577,TRUE,FALSE,FALSE,"Undervalued","Aliyah Boston"
"allisha gray","ATL","G","22","781",19.9,".595",".528",".473",".456","3.3","9.0","19.6","1.3","1.1","10.1","21.8","120","103","3.0","1.2","4.2",".216",2025,"Atlanta Dream",2025,"$190,000 ","Protected Veteran",190000,"ATL","G","22","781","5.6","12.9",".438","2.3","6.1",".381","3.3","6.8",".490","4.8","5.9",".814","1.0","5.6","4.0","0.9","0.5","1.7","18.4",2025,138711.610082998,51288.3899170022,FALSE,FALSE,FALSE,NA,NA
"alysha clark","SEA","F","22","414",7.4,".520",".487",".628",".167","2.3","7.5","6.7","2.2","0.4","15.2","10.9","97","103","0.0","0.6","0.6",".062",2025,"Seattle Storm",2025,"$185,000 ","Unprotected",185000,"SEA","F","22","414","1.4","3.5",".385","0.7","2.2",".327","0.6","1.3",".483","0.5","0.6",".846","0.4","2.4","0.9","0.8","0.1","0.7","4.0",2025,87521.2513453418,97478.7486546582,FALSE,FALSE,FALSE,NA,NA
