X,player,weighted_mp,weighted_ws,weighted_per,team.x,contract_y,per_minute_score,rank_within_team,protected,team.y,pos,actual,xgb_pred,residual
152,stefanie dolson,848,1.6,9.216666667,WAS,0,0.008775997,6,0,WAS,C,"$170,000 ","$200,898 ","$30,898.39 "
153,shakira austin,361.4,0.75,18.99,WAS,0,-0.037156842,7,0,WAS,C-F,"$91,981 ","$119,258 ","$27,277.29 "
60,stephanie talbot,868,0.7,9.35,GSV,0,-0.370728052,11,0,GSV,F,"$125,000 ","$148,540 ","$23,539.83 "
13,maya caldwell,603,-0.5,5.733333333,ATL,0,-0.568402645,13,0,ATL,G,"$66,079 ","$67,742 ","$1,663.48 "
154,emily engstler,373,0.966666667,12.86666667,WAS,0,-0.130289813,8,0,WAS,F,"$66,079 ","$83,961 ","$17,882.00 "
7,taylor thierry,15,0,4.6,ATL,3,0.00431603,7,0,ATL,G-F,"$66,079 ","$64,898 ","($1,181.11)"
10,shatori kimbrough,1095.5,1.45,8.0125,ATL,0,-0.288332825,10,0,ATL,G,"$150,000 ","$148,297 ","($1,703.28)"
6,rhyne howard,835.7,2.57,16.76,ATL,0,0.009667877,6,0,ATL,G,"$91,981 ","$78,369 ","($13,612.16)"
24,kia nurse,2051,0.4,7.966666667,CHI,0,-0.400752773,11,0,CHI,G,"$145,000 ","$147,849 ","$2,849.14 "
57,cecilia zandalasini,626,1.6,12.75,GSV,0,-0.136458652,8,0,GSV,F,"$100,000 ","$111,688 ","$11,688.35 "
37,haley peters,281,-0.4,6.1,CON,0,-0.491742611,12,0,CON,F-G,"$78,831 ","$89,987 ","$11,155.90 "
23,moriah jefferson,1043,0.733333333,7.216666667,CHI,0,-0.344371929,10,0,CHI,G,"$145,500 ","$145,979 ",$478.53 
22,rachel banham,928.3333333,0.866666667,10.53333333,CHI,0,-0.243460721,9,0,CHI,G,"$95,000 ","$90,652 ","($4,348.02)"
61,janelle salaun,305,0.2,9.8,GSV,0,-0.4080396,12,0,GSV,F,"$66,079 ","$76,203 ","$10,124.32 "
58,laeticia amihere,266,0.475,12.3625,GSV,0,-0.275980196,9,0,GSV,F,"$53,307 ","$62,529 ","$9,221.82 "
21,hailey lith,219,-0.4,7,CHI,3,-0.122563709,8,0,CHI,G,"$72,455 ","$65,729 ","($6,725.89)"
31,lindsay allen,1869,1.8,9.466666667,CON,0,0.065413524,6,0,CON,G,"$90,000 ","$110,529 ","$20,528.90 "
36,jaelyn brown,272,-0.3,7.1,CON,0,-0.444644517,11,0,CON,G-F,"$56,639 ","$71,805 ","$15,166.44 "
74,damiris dantas,214,0.3,10.43333333,IND,0,-0.479735621,13,0,IND,C-F,"$100,000 ","$106,135 ","$6,134.72 "
35,bria hartley,503,-0.5,10.5,CON,0,-0.400024404,10,0,CON,G,"$78,831 ","$90,652 ","$11,820.98 "
155,sika kone,307.6666667,0.7,11.66666667,WAS,0,-0.267843555,9,0,WAS,F,"$66,710 ","$71,453 ","$4,742.96 "
34,jacy sheldon,1473,-0.5,9.55,CON,2,-0.151744127,9,0,CON,G,"$74,909 ","$83,677 ","$8,768.29 "
67,makayla timpson,96,0.3,13.2,IND,3,0.196948706,6,0,IND,F-C,"$69,267 ","$73,866 ","$4,599.10 "
120,isabelle harrison,752,0.8,13.75,NYL,0,-0.344415399,11,0,NYL,F,"$78,831 ","$82,468 ","$3,637.41 "
43,aziaha james,369,0.4,13.9,DAL,3,0.041195195,6,0,DAL,G,"$72,455 ","$66,292 ","($6,163.37)"
115,nyara sabally,293.6,1.25,15.64,NYL,1,0.022787422,6,0,NYL,C,"$79,999 ","$82,960 ","$2,961.34 "
144,mackenzie holmes,19,0.1,15,SEA,0,-0.248296548,11,0,SEA,F,"$48,865 ","$51,798 ","$2,933.34 "
45,arike ogunbowale,973,1.71,15.11,DAL,0,-0.031858812,8,0,DAL,G,"$249,032 ","$230,599 ","($18,432.72)"
33,rayah marshall,49,-0.2,5,CON,3,-0.068184768,8,0,CON,C-F,"$69,267 ","$71,770 ","$2,502.86 "
55,kate martin,725,0.6,8.3,GSV,2,-0.02191686,6,0,GSV,G,"$68,595 ","$80,949 ","$12,354.44 "
59,kaitlyn chen,120,0.3,11,GSV,0,-0.349372989,10,0,GSV,G,"$49,420 ","$61,643 ","$12,222.71 "
56,temi fagbenle,802,2,13.95,GSV,0,-0.044687933,7,0,GSV,C,"$90,000 ","$90,818 ",$817.50 
11,nia coffey,371,0.34,10.9,ATL,0,-0.370602072,11,0,ATL,F,"$150,000 ","$150,810 ",$809.64 
32,olivia ododa,483.6,0.98,14.44,CON,0,0.017852378,7,0,CON,C,"$80,823 ","$81,554 ",$731.49 
68,aari mcdonald,1406,2.2,12.66666667,IND,0,-0.030813821,7,0,IND,G,"$52,333 ","$62,892 ","$10,559.15 "
70,sydney colson,506.75,1,10.3875,IND,0,-0.332075156,9,0,IND,G,"$90,000 ","$90,596 ",$595.82 
69,lexie hull,629.2,1.58,11.17,IND,0,-0.192979323,8,0,IND,G,"$88,261 ","$85,415 ","($2,845.75)"
46,li yueru,871,1.8,13.35,DAL,0,-0.046426489,9,0,DAL,C,"$66,079 ","$66,497 ",$418.02 
71,brianna turner,1362,1.3,5.666666667,IND,0,-0.364758699,10,0,IND,F-C,"$85,000 ","$85,311 ",$311.14 
48,luisa geiselsoder,249,0.3,12.1,DAL,0,-0.473618117,11,0,DAL,C,"$66,079 ","$66,047 ",($32.34)
44,teaira mccowan,483,1.49,19.71,DAL,0,0.010274453,7,0,DAL,C,"$201,400 ","$201,325 ",($74.80)
86,julie vanloo,1164,-1.1,6.2,LAS,0,-0.523300546,12,0,LAS,G,"$66,079 ","$66,723 ",$643.55 
84,julie allemand,297,0.4,10.1,LAS,0,-0.235358939,10,0,LAS,G,"$85,000 ","$81,660 ","($3,339.74)"
19,maddy westbeld,60,0,8.6,CHI,3,-0.000741579,6,0,CHI,F,"$69,267 ","$67,668 ","($1,599.49)"
106,jessica shepard,389.2857143,1.7,18.37142857,MIN,0,-0.207722205,10,0,MIN,F,"$78,831 ","$77,227 ","($1,603.64)"
80,sarah barker,365,-0.7,3.6,LAS,3,-0.01989918,6,0,LAS,G,"$72,455 ","$65,729 ","($6,725.89)"
131,kathryn westbeld,482,1.4,12.8,PHO,0,-0.325076044,9,0,PHO,F,"$66,079 ","$64,338 ","($1,740.96)"
81,emma cannon,523,1.1,15.76666667,LAS,0,-0.051498525,7,0,LAS,F,"$78,831 ","$77,024 ","($1,807.40)"
82,mercedes russell,776.5,1.35,10.2875,LAS,0,-0.08236046,8,0,LAS,C,"$160,000 ","$158,082 ","($1,918.08)"
85,rae burrell,246.1,0.32,10.01,LAS,0,-0.249197746,11,0,LAS,G-F,"$125,000 ","$103,095 ","($21,904.98)"
108,maria kliundikova,118,0.7,23.3,MIN,0,-0.255198354,12,0,MIN,F,"$54,418 ","$52,363 ","($2,054.62)"
93,chelsea gray,725.2,1.69,15.38,LVA,0,-0.140944015,7,0,LVA,G,"$196,267 ","$195,800 ",($466.50)
94,dana evans,1127.5,0.875,10.9,LVA,0,-0.323599653,8,0,LVA,G,"$89,000 ","$80,706 ","($8,293.76)"
83,sania feagin,40,-0.4,-7.8,LAS,3,-0.119007501,9,0,LAS,F,"$69,267 ","$65,729 ","($3,537.89)"
8,naz hillmon,570.1,2.01,15.78,ATL,0,-0.076763016,8,0,ATL,F,"$80,823 ","$76,889 ","($3,934.27)"
103,kayla mcbride,852.5,3.16,15.85,MIN,0,-0.059646272,7,0,MIN,G,"$205,000 ","$199,756 ","($5,243.61)"
105,alissa pili,100.6666667,0.033333333,7.133333333,MIN,2,-0.20114598,9,0,MIN,F,"$74,909 ","$70,334 ","($4,574.88)"
96,kierstan bell,139.3,0.1,11.09,LVA,0,-0.437486722,10,0,LVA,F,"$84,543 ","$79,814 ","($4,728.88)"
104,natisha hiedeman,1549.666667,2.9,11.53333333,MIN,0,-0.166316827,8,0,MIN,G,"$135,000 ","$120,712 ","($14,288.45)"
129,natasha mack,329.6666667,1.266666667,16.93333333,PHO,0,-0.236690833,7,0,PHO,F,"$66,079 ","$60,834 ","($5,244.97)"
119,rebekah gardner,329,1.1,14.6,NYL,0,-0.281762345,10,0,NYL,G,"$66,079 ","$73,720 ","$7,641.24 "
133,kitija laksa,461,0.7,8.8,PHO,0,-0.508803645,11,0,PHO,F,"$80,000 ","$73,897 ","($6,102.80)"
117,marquesha davis,47.33333333,0.066666667,7.033333333,NYL,2,-0.073163373,8,0,NYL,G,"$71,753 ","$79,068 ","$7,315.49 "
122,jaylyn sherrod,76.33333333,0.133333333,11.66666667,NYL,0,-0.487687848,13,0,NYL,G,"$66,079 ","$71,262 ","$5,183.38 "
118,kennedy burke,458.3333333,1.5,14.6,NYL,0,-0.221792413,9,0,NYL,G-F,"$78,831 ","$81,816 ","$2,984.90 "
132,lexi held,290,0.6,14,PHO,0,-0.389585752,10,0,PHO,G,"$66,079 ","$59,407 ","($6,672.15)"
107,bridget carleton,812.7,2.6,11.06,MIN,0,-0.213448867,11,0,MIN,F,"$125,000 ","$118,095 ","($6,905.33)"
47,maddy siegrist,383.5,0.71,15,DAL,1,-0.151231564,10,0,DAL,F,"$83,371 ","$75,883 ","($7,488.22)"
25,michaela onyenwere,1365.666667,-0.7,8.8,CHI,0,-0.622377985,12,0,CHI,F,"$125,000 ","$117,489 ","($7,511.25)"
128,sami whitcomb,1232.75,2.5,12.5875,PHO,0,-0.200144045,6,0,PHO,G,"$125,000 ","$99,933 ","($25,067.41)"
109,diamond miller,258.3,0.29,9.54,MIN,1,-0.33382949,13,0,MIN,F,"$83,371 ","$72,595 ","($10,776.12)"
20,elizabeth williams,438.3,0.94,16.92,CHI,0,-0.089108217,7,0,CHI,C-F,"$100,000 ","$88,760 ","($11,239.58)"
141,erica wheeler,1273.25,1.75,12.1875,SEA,0,-0.106956189,8,0,SEA,G,"$78,831 ","$80,483 ","$1,652.09 "
146,zia cooke,547,-1.3,4.375,SEA,0,-0.551313569,13,0,SEA,G,"$66,079 ","$64,142 ","($1,936.60)"
143,lexie brown,466.25,0.05,6.25,SEA,1,-0.170170279,10,0,SEA,G,"$96,408 ","$90,596 ","($5,812.18)"
140,alysha clark,1350,2.6,8.45,SEA,0,-0.06634947,7,0,SEA,F,"$185,000 ","$169,831 ","($15,168.98)"
92,megan gustafson,677,2,12.15,LVA,0,-0.137774855,6,0,LVA,C,"$96,820 ","$80,237 ","($16,583.12)"
95,kiah stokes,531,0.99,7.47,LVA,0,-0.352416147,9,0,LVA,C,"$103,000 ","$86,292 ","($16,708.09)"
145,tiffany mitchell,1408,0.3,7.9,SEA,0,-0.326276212,12,0,SEA,G,"$101,123 ","$89,410 ",(-11712.84)
157,sug sutton,1525.333333,-0.466666667,9.733333333,WAS,0,-0.773904662,11,0,WAS,G,"$78,831 ","$89,522 ","$10,691.03 "
139,gabby williams,580.8,1.79,16.63,SEA,0,-0.040056843,6,0,SEA,F,"$225,000 ","$202,694 ","($22,306.34)"
156,jade melbourne,804.6666667,0,6.95,WAS,0,-0.674144403,10,0,WAS,G,"$66,710 ","$71,453 ","$4,742.96 "
78,cameron brink,329,0.2,12.9,LAS,2,0.084591449,4,1,NA,NA,NA,NA,NA
99,anastasiia kosu,24,0.1,19.8,MIN,3,0.227722078,3,1,NA,NA,NA,NA,NA
138,jordan horston,854.75,1.4,12.4,SEA,1,0.064393599,5,1,NA,NA,NA,NA,NA
151,brittney sykes,614.5,1.26,15.57,WAS,0,0.060949609,5,1,WAS,G,"$195,000 ","$231,003 ","$36,002.83 "
26,tina charles,1793,3.2,17.35,CON,0,0.567547384,1,1,CON,C,"$170,000 ","$201,136 ","$31,136.31 "
53,kayla thornton,1418,3.975,13.15,GSV,0,0.141492841,4,1,GSV,F,"$112,000 ","$137,914 ","$25,914.23 "
113,sabrina ionescu,836.7,3.47,20.52,NYL,0,0.196664895,4,1,NYL,G,"$208,060 ","$225,276 ","$17,215.69 "
114,jonquel jones,572.9,3.14,22.71,NYL,0,0.192730376,5,1,NYL,C,"$195,000 ","$211,300 ","$16,299.89 "
