Player,Team,Year,Salary,Protection Status
Cheyenne Parker-Tyus ,Atlanta Dream,2024,"$200,000.00",Protected Veteran
Jordin Canada ,Atlanta Dream,2024,"$185,000.00",Protected Veteran
Allisha Gray ,Atlanta Dream,2024,"$185,000.00",Protected Veteran
Aerial Powers ,Atlanta Dream,2024,"$155,000.00",Protected Veteran
Nia Coffey ,Atlanta Dream,2024,"$150,000.00",Protected Veteran
Tina Charles,Atlanta Dream,2024,"$130,000.00",Unprotected
Rhyne Howard ,Atlanta Dream,2024,"$80,943.00",Unprotected
Iliana Rupert,Atlanta Dream,2024,N/A,Full-Season Suspension
Laeticia Amihere,Atlanta Dream,2024,"$72,727.00",Unprotected
Haley Jones ,Atlanta Dream,2024,"$72,727.00",Unprotected
Naz Hillmon ,Atlanta Dream,2024,"$71,124.00",Unprotected
Lorela Cubaj,Atlanta Dream,2024,"$64,154.00",Unprotected
Maya Caldwell ,Atlanta Dream,2024,"$36,841.00",Unprotected
Ezinne Kalu,Atlanta Dream,2024,"$1,270.00",Hardship Active
Danielle Robinson ,Atlanta Dream,2024,N/A,Unrestricted Free Agent
Maite Cazorla,Atlanta Dream,2024,N/A,Suspended Contract Expired
Crystal Dangerfield ,Atlanta Dream,2024,"$36,436.00",Waived
Destanni Henderson,Atlanta Dream,2024,"$8,892.00",7-day Complete
Elizabeth Williams ,Chicago Sky,2024,"$165,000.00",Protected Veteran
Isabelle Harrison ,Chicago Sky,2024,"$160,000.00",Protected Veteran
Brianna Turner ,Chicago Sky,2024,"$150,000.00",Protected Veteran
Moriah Jefferson ,Chicago Sky,2024,"$141,500.00",Protected Veteran
Diamond DeShields,Chicago Sky,2024,"$100,000.00",Unprotected
Rachel Banham ,Chicago Sky,2024,"$95,000.00",Protected Veteran
Lindsay Allen ,Chicago Sky,2024,"$90,000.00",Unprotected
Michaela Onyenwere ,Chicago Sky,2024,"$85,690.00",Protected Rookie
Dana Evans ,Chicago Sky,2024,"$78,469.00",Protected Rookie
Kamilla Cardoso,Chicago Sky,2024,"$76,535.00",Unprotected
Chennedy Carter ,Chicago Sky,2024,"$76,535.00",Unprotected
Angel Reese,Chicago Sky,2024,"$73,439.00",Unprotected
Kaela Davis,Chicago Sky,2024,"$1,516.00",Active Hardship Contract
Nikolina Milić,Chicago Sky,2024,N/A,Reserved Free Agent
Maria Conde,Chicago Sky,2024,N/A,Suspended Contract Expired
Kysre Gondrezick ,Chicago Sky,2024,"$30,489.00",Waived
Kaela Davis,Chicago Sky,2024,"$5,304.00",7-day Complete
Alyssa Thomas,Connecticut Suns,2024,"$218,000.00",Protected Veteran
Marina Mabrey ,Connecticut Suns,2024,"$217,592.00",Protected Veteran
Brionna Jones ,Connecticut Suns,2024,"$212,000.00",Protected Veteran
DeWanna Bonner ,Connecticut Suns,2024,"$209,593.00",Unprotected
Tiffany Mitchell ,Connecticut Suns,2024,"$139,050.00",Protected Veteran
Astou Ndour-Fall,Connecticut Suns,2024,"$125,000.00",Protected Veteran
Tyasha Harris ,Connecticut Suns,2024,"$97,100.00",Unprotected
DiJonai Carrington ,Connecticut Suns,2024,"$78,469.00",Protected Rookie
Olivia Nelson-Ododa,Connecticut Suns,2024,"$71,124.00",Unprotected
Veronica Burton ,Connecticut Suns,2024,"$50,180.00",Unprotected
Caitlin Bickle,Connecticut Suns,2024,"$13,339.00",Unprotected
Queen Egbo,Connecticut Suns,2024,"$18,415.00",Waived
Caitlin Bickle,Connecticut Suns,2024,"$8,892.00",7-day Complete
Celeste Taylor,Connecticut Suns,2024,"$4,446.00",7-day Complete
Arike Ogunbowale ,Dallas Wings,2024,"$241,984.00",Protected Veteran
Natasha Howard ,Dallas Wings,2024,"$234,350.00",Protected Veteran
Teaira McCowan ,Dallas Wings,2024,"$195,700.00",Protected Veteran
Satou Sabally ,Dallas Wings,2024,"$195,000.00",Protected Veteran
Kalani Brown,Dallas Wings,2024,"$125,000.00",Protected Veteran
Awak Kuier ,Dallas Wings,2024,N/A,Full-Season Suspension
Stephanie Soares,Dallas Wings,2024,"$76,535.00",Unprotected
Maddy Siegrist ,Dallas Wings,2024,"$75,792.00",Unprotected
Jacy Sheldon,Dallas Wings,2024,"$73,439.00",Unprotected
Lou Lopez Sénéchal ,Dallas Wings,2024,"$72,727.00",Unprotected
Jaelyn Brown,Dallas Wings,2024,"$64,154.00",Unprotected
Sevgi Uzun,Dallas Wings,2024,"$64,154.00",Unprotected
Bella Alarie ,Dallas Wings,2024,N/A,Suspended Contract Expired
Monique Billings ,Dallas Wings,2024,"$35,237.00",Complete Hardship Contract
Odyssey Sims ,Dallas Wings,2024,"$13,072.00",Complete Hardship Contract
Morgan Bertsch,Dallas Wings,2024,"$2,858.00",Complete Hardship Contract
Kelsey Mitchell ,Indiana Fever,2024,"$212,000.00",Protected Veteran
Erica Wheeler ,Indiana Fever,2024,"$202,154.00",Protected Veteran
Katie Lou Samuelson ,Indiana Fever,2024,"$175,000.00",Protected Veteran
Damiris Dantas ,Indiana Fever,2024,"$97,100.00",Protected Veteran
NaLyssa Smith,Indiana Fever,2024,"$80,943.00",Unprotected
Lexie Hull,Indiana Fever,2024,"$77,669.00",Unprotected
Caitlin Clark,Indiana Fever,2024,"$76,535.00",Unprotected
Temi Fagbenle,Indiana Fever,2024,"$76,535.00",Unprotected
Aliyah Boston,Indiana Fever,2024,"$75,792.00",Unprotected
Grace Berger,Indiana Fever,2024,"$72,727.00",Unprotected
Kristy Wallace,Indiana Fever,2024,"$71,124.00",Unprotected
Victaria Saxton,Indiana Fever,2024,"$64,154.00",Unprotected
Emma Cannon ,Indiana Fever,2024,N/A,Unrestricted Free Agent
Amanda Zahui B. ,Indiana Fever,2024,N/A,Unrestricted Free Agent
Victoria Vivians ,Indiana Fever,2024,"$85,000.00",Buyout
Celeste Taylor,Indiana Fever,2024,"$29,962.00",Waived
A'ja Wilson ,Las Vegas Aces,2024,"$227,303.00",Protected Veteran
Kelsey Plum ,Las Vegas Aces,2024,"$200,000.00",Protected Veteran
Chelsea Gray ,Las Vegas Aces,2024,"$196,267.00",Protected Veteran
Jackie Young ,Las Vegas Aces,2024,"$169,950.00",Protected Veteran
Alysha Clark ,Las Vegas Aces,2024,"$110,000.00",Protected Veteran
Kiah Stokes ,Las Vegas Aces,2024,"$100,000.00",Unprotected
Megan Gustafson ,Las Vegas Aces,2024,"$94,000.00",Unprotected
Tiffany Hayes ,Las Vegas Aces,2024,"$88,000.00",Unprotected
Sydney Colson,Las Vegas Aces,2024,"$76,535.00",Unprotected
Kierstan Bell,Las Vegas Aces,2024,"$74,398.00",Unprotected
Kate Martin,Las Vegas Aces,2024,"$67,249.00",Unprotected
Queen Egbo,Las Vegas Aces,2024,"$2,541.00",Unprotected
Cayla George,Las Vegas Aces,2024,N/A,Unrestricted Free Agent
Riquna Williams ,Las Vegas Aces,2024,N/A,Unrestricted Free Agent
Emma Cannon ,Las Vegas Aces,2024,"$27,280.00",Waived
Jessika Carter,Las Vegas Aces,2024,"$10,798.00",Waived
Dyaisha Fair,Las Vegas Aces,2024,"$9,987.00",Waived
Queen Egbo,Las Vegas Aces,2024,"$8,892.00",7-day Complete
Azurá Stevens ,Los Angeles Sparks,2024,"$215,000.00",Protected Veteran
Dearica Hamby ,Los Angeles Sparks,2024,"$189,000.00",Protected Veteran
Kia Nurse ,Los Angeles Sparks,2024,"$142,500.00",Protected Veteran
Rae Burrell ,Los Angeles Sparks,2024,"$125,000.00",Protected Veteran
Stephanie Talbot ,Los Angeles Sparks,2024,"$115,000.00",Protected Veteran
Layshia Clarendon ,Los Angeles Sparks,2024,"$100,000.00",Unprotected
Aari McDonald ,Los Angeles Sparks,2024,"$89,302.00",Protected Rookie Scale
Julie Allemand ,Los Angeles Sparks,2024,N/A,Full-Season Suspension
Lexie Brown ,Los Angeles Sparks,2024,"$80,340.00",Unprotected
Cameron Brink ,Los Angeles Sparks,2024,"$76,535.00",Unprotected
Rickea Jackson ,Los Angeles Sparks,2024,"$76,535.00",Unprotected
Zia Cooke ,Los Angeles Sparks,2024,"$69,663.00",Unprotected
Li Yueru ,Los Angeles Sparks,2024,"$64,767.00",Unprotected
Crystal Dangerfield ,Los Angeles Sparks,2024,"$21,218.00",Active Hardship Contract
Odyssey Sims ,Los Angeles Sparks,2024,"$9,851.00",Active Hardship Contract
Chiney Ogwumike ,Los Angeles Sparks,2024,N/A,Unrestricted Free Agent
Maria Kliundikova,Los Angeles Sparks,2024,N/A,Suspended Contract Expired
Crystal Dangerfield ,Los Angeles Sparks,2024,"$15,912.00",7-day Complete
Odyssey Sims ,Los Angeles Sparks,2024,"$15,912.00",7-day Complete
Queen Egbo,Los Angeles Sparks,2024,"$6,352.00",Complete Hardship Contract
Napheesa Collier ,Minnesota Lynx,2024,"$215,469.00",Unprotected
Kayla McBride ,Minnesota Lynx,2024,"$208,000.00",Protected Veteran
Myisha Hines-Allen ,Minnesota Lynx,2024,"$180,200.00",Protected Veteran
Courtney Williams ,Minnesota Lynx,2024,"$175,000.00",Protected Veteran
Alanna Smith ,Minnesota Lynx,2024,"$150,000.00",Protected Veteran
Bridget Carleton ,Minnesota Lynx,2024,"$125,000.00",Unprotected
Jessica Shepard ,Minnesota Lynx,2024,N/A,Full-Season Suspension
Natisha Hiedeman ,Minnesota Lynx,2024,"$120,000.00",Unprotected
Diamond Miller,Minnesota Lynx,2024,"$75,792.00",Unprotected
Alissa Pili,Minnesota Lynx,2024,"$73,439.00",Unprotected
Dorka Juhasz,Minnesota Lynx,2024,"$66,597.00",Unprotected
Cecilia Zandalasini,Minnesota Lynx,2024,"$64,154.00",Unprotected
Olivia Époupa,Minnesota Lynx,2024,$635.00,Unprotected
Natalie Achonwa ,Minnesota Lynx,2024,N/A,Unrestricted Free Agent
Taylor Soule,Minnesota Lynx,2024,"$8,893.00",Waived
Breanna Stewart ,New York Liberty,2024,"$205,000.00",Unprotected
Sabrina Ionescu ,New York Liberty,2024,"$202,000.00",Unprotected
Courtney Vandersloot,New York Liberty,2024,"$194,670.00",Protected Veteran
Jonquel Jones,New York Liberty,2024,"$190,000.00",Protected Veteran
Betnijah Laney-Hamilton ,New York Liberty,2024,"$180,000.00",Protected Veteran
Kayla Thornton ,New York Liberty,2024,"$110,000.00",Protected Veteran
Kennedy Burke ,New York Liberty,2024,"$76,535.00",Protected Veteran
Nyara Sabally,New York Liberty,2024,"$72,727.00",Unprotected
Marquesha Davis,New York Liberty,2024,"$70,344.00",Unprotected
Leonie Fiebich,New York Liberty,2024,"$67,249.00",Unprotected
Ivana Dojkić ,New York Liberty,2024,"$64,154.00",Unprotected
Jaylyn Sherrod,New York Liberty,2024,"$17,150.00",Unprotected
Rebekah Gardner,New York Liberty,2024,N/A,Reserved Free Agent
Marine Johannès,New York Liberty,2024,N/A,Reserved Free Agent
Han Xu,New York Liberty,2024,N/A,Suspended Contract Expired
Jaylyn Sherrod,New York Liberty,2024,"$13,338.00",7-day Complete
Kahleah Copper,Phoenix Mercury,2024,"$241,984.00",Protected Veteran
Diana Taurasi ,Phoenix Mercury,2024,"$234,936.00",Protected Veteran
Natasha Cloud,Phoenix Mercury,2024,"$200,000.00",Protected Veteran
Sophie Cunningham ,Phoenix Mercury,2024,"$189,500.00",Protected Veteran
Rebecca Allen ,Phoenix Mercury,2024,"$160,000.00",Protected Veteran
Brittney Griner ,Phoenix Mercury,2024,"$150,000.00",Protected Veteran
Mikiah Herbert Harrigan,Phoenix Mercury,2024,"$64,154.00",Unprotected
Natasha Mack,Phoenix Mercury,2024,"$64,154.00",Unprotected
Charisma Osborne,Phoenix Mercury,2024,"$45,098.00",Unprotected
Monique Billings ,Phoenix Mercury,2024,"$19,702.00",Unprotected
Celeste Taylor,Phoenix Mercury,2024,"$8,893.00",Unprotected
Amy Atwell,Phoenix Mercury,2024,$635.00,Unprotected
Klara Lundquist,Phoenix Mercury,2024,N/A,Suspended Contract Expired
Liz Dixon,Phoenix Mercury,2024,"$32,395.00",Waived
Morgan Bertsch,Phoenix Mercury,2024,"$19,056.00",Waived
Celeste Taylor,Phoenix Mercury,2024,"$13,338.00",7-day Complete
Amy Atwell,Phoenix Mercury,2024,"$8,892.00",7-day Complete
Monique Billings ,Phoenix Mercury,2024,"$5,304.00",7-day Complete
Liz Dixon,Phoenix Mercury,2024,"$4,446.00",7-day Complete
Jewell Loyd ,Seattle Storm,2024,"$241,984.00",Protected Veteran
Skylar Diggins ,Seattle Storm,2024,"$208,219.00",Protected Veteran
Nneka Ogwumike ,Seattle Storm,2024,"$204,500.00",Protected Veteran
Mercedes Russell ,Seattle Storm,2024,"$160,000.00",Protected Veteran
Ezi Magbegor ,Seattle Storm,2024,"$155,000.00",Protected Veteran
Sami Whitcomb ,Seattle Storm,2024,"$140,000.00",Protected Veteran
Victoria Vivians ,Seattle Storm,2024,"$76,535.00",Unprotected
Jordan Horston ,Seattle Storm,2024,"$69,663.00",Unprotected
Nika Muhl ,Seattle Storm,2024,"$67,249.00",Unprotected
Joyner Holmes ,Seattle Storm,2024,"$61,380.00",Unprotected
Gabby Williams ,Seattle Storm,2024,"$23,491.00",Unprotected
Yvonne Turner ,Seattle Storm,2024,N/A,Unrestricted Free Agent
Kiana Williams ,Seattle Storm,2024,"$32,395.00",Waived
Dulcy Fankam Mendjiadeu ,Seattle Storm,2024,"$13,188.00",Waived
Kiana Williams ,Seattle Storm,2024,"$8,892.00",7-day Complete
Brittney Sykes ,Washington Mystics,2024,"$200,000.00",Protected Veteran
Ariel Atkins ,Washington Mystics,2024,"$200,000.00",Protected Veteran
Stefanie Dolson,Washington Mystics,2024,"$185,000.00",Protected Veteran
Karlie Samuelson ,Washington Mystics,2024,"$125,000.00",Protected Veteran
Shatori Walker-Kimbrough ,Washington Mystics,2024,"$97,850.00",Unprotected
Shakira Austin,Washington Mystics,2024,"$80,943.00",Unprotected
Aaliyah Edwards,Washington Mystics,2024,"$73,439.00",Unprotected
Sika Koné,Washington Mystics,2024,"$64,154.00",Unprotected
Jade Melbourne ,Washington Mystics,2024,"$64,154.00",Unprotected
Emily Engstler,Washington Mystics,2024,"$64,154.00",Unprotected
Sug Sutton,Washington Mystics,2024,"$64,154.00",Unprotected
Julie Vanloo,Washington Mystics,2024,"$64,154.00",Unprotected
Elena Delle Donne ,Washington Mystics,2024,N/A,Cored
Tianna Hawkins ,Washington Mystics,2024,N/A,Unrestricted Free Agent
Kristi Toliver ,Washington Mystics,2024,N/A,Unrestricted Free Agent
Bernadett Határ ,Washington Mystics,2024,N/A,Reserved Free Agent
Li Meng,Washington Mystics,2024,N/A,Reserved Free Agent
Olivia Époupa,Washington Mystics,2024,"$64,154.00",Waived
DiDi Richards ,Washington Mystics,2024,"$64,154.00",Waived
Jakia Brown-Turner,Washington Mystics,2024,"$8,892.00",7-day Complete
Jakia Brown-Turner,Washington Mystics,2024,"$3,811.00",Waived
Jordin Canada ,Atlanta Dream,2025,"$190,000.00",Protected Veteran
Allisha Gray ,Atlanta Dream,2025,"$190,000.00",Protected Veteran
Aerial Powers ,Atlanta Dream,2025,N/A,Unrestricted Free Agent
Nia Coffey ,Atlanta Dream,2025,"$150,000.00",Protected Veteran
Rhyne Howard ,Atlanta Dream,2025,"$91,981.00",Protected Rookie Scale
Naz Hillmon ,Atlanta Dream,2025,"$80,823.00",Protected Rookie Scale
Lorela Cubaj,Atlanta Dream,2025,N/A,Reserved Free Agent
Maya Caldwell ,Atlanta Dream,2025,"$66,079.00",Unprotected
Maite Cazorla,Atlanta Dream,2025,N/A,Suspended Contract Expired
Brittney Griner ,Atlanta Dream,2025,"$214,466.00",Protected Veteran
Brionna Jones ,Atlanta Dream,2025,"$214,466.00",Protected Veteran
Shatori Walker-Kimbrough ,Atlanta Dream,2025,"$150,000.00",Protected Veteran
Te-Hina Paopao ,Atlanta Dream,2025,"$69,267.00",Unprotected
Taylor Thierry ,Atlanta Dream,2025,"$66,079.00",Unprotected
Holly Winterburn,Atlanta Dream,2025,N/A,Full-season Suspension
Ariel Atkins ,Chicago Sky,2025,"$200,000.00",Protected Veteran
Courtney Vandersloot,Chicago Sky,2025,"$185,000.00",Unprotected
Rebecca Allen ,Chicago Sky,2025,"$160,000.00",Protected Veteran
Moriah Jefferson ,Chicago Sky,2025,"$145,500.00",Protected Veteran
Kia Nurse ,Chicago Sky,2025,"$145,000.00",Unprotected
Michaela Onyenwere ,Chicago Sky,2025,"$125,000.00",Unprotected
Elizabeth Williams ,Chicago Sky,2025,"$100,000.00",Unprotected
Rachel Banham ,Chicago Sky,2025,"$95,000.00",Protected Veteran
Kamilla Cardoso,Chicago Sky,2025,"$78,066.00",Temporary Suspension
Angel Reese,Chicago Sky,2025,"$74,909.00",Unprotected
Hailey Van Lith,Chicago Sky,2025,"$72,455.00",Unprotected
Maddy Westbeld,Chicago Sky,2025,"$69,267.00",Unprotected
Chennedy Carter ,Chicago Sky,2025,N/A,Unrestricted Free Agent
Marina Mabrey ,Connecticut Suns,2025,"$210,000.00",Protected Veteran
Tina Charles,Connecticut Suns,2025,"$170,000.00",Protected Veteran
Lindsay Allen ,Connecticut Suns,2025,"$90,000.00",Unprotected
Olivia Nelson-Ododa,Connecticut Suns,2025,"$80,823.00",Protected Rookie Scale
Bria Hartley ,Connecticut Suns,2025,"$78,831.00",Unprotected
Haley Peters,Connecticut Suns,2025,"$78,831.00",Unprotected
Aneesah Morrow,Connecticut Suns,2025,"$75,643.00",Unprotected
Saniya Rivers,Connecticut Suns,2025,"$75,643.00",Unprotected
Jacy Sheldon,Connecticut Suns,2025,"$74,909.00",Unprotected
Leila Lacan,Connecticut Suns,2025,"$72,455.00",Temporary Suspension
Rayah Marshall,Connecticut Suns,2025,"$69,267.00",Unprotected
Kariata Diaby,Connecticut Suns,2025,"$66,079.00",Unprotected
Jaelyn Brown,Connecticut Suns,2025,"$56,639.00",Unprotected
Astou Ndour-Fall,Connecticut Suns,2025,N/A,Unrestricted Free Agent
Nikolina Milić,Connecticut Suns,2025,N/A,Reserved Free Agent
Yvonne Anderson,Connecticut Suns,2025,"$85,000.00",Waived
Diamond DeShields,Connecticut Suns,2025,"$20,294.00",Waived
Robyn Parks,Connecticut Suns,2025,"$11,106.00",Waived
Arike Ogunbowale ,Dallas Wings,2025,"$249,032.00",Protected Veteran
Myisha Hines-Allen ,Dallas Wings,2025,"$203,000.00",Protected Veteran
Teaira McCowan ,Dallas Wings,2025,"$201,400.00",Temporary Suspension
