"player","team","pos","actual","xgb_pred","residual"
"brittney sykes","WAS","G",195000,231002.828125,36002.828125
"tina charles","CON","C",170000,201136.3125,31136.3125
"stefanie dolson","WAS","C",170000,200898.390625,30898.390625
"shakira austin","WAS","C-F",91981,119258.2890625,27277.2890625
"kayla thornton","GSV","F",112000,137914.234375,25914.234375
"stephanie talbot","GSV","F",125000,148539.828125,23539.828125
"lindsay allen","CON","G",90000,110528.8984375,20528.8984375
"emily engstler","WAS","F",66079,83961,17882
"sabrina ionescu","NYL","G",208060,225275.6875,17215.6875
"jonquel jones","NYL","C",195000,211299.890625,16299.890625
"jaelyn brown","CON","G-F",56639,71805.4375,15166.4375
"chloe bibby","GSV","F",49420,64295.6640625,14875.6640625
"monique billings","GSV","F",110000,123486.0078125,13486.0078125
"kate martin","GSV","G",68595,80949.4375,12354.4375
"kaitlyn chen","GSV","G",49420,61642.71484375,12222.71484375
"bria hartley","CON","G",78831,90651.9765625,11820.9765625
"cecilia zandalasini","GSV","F",1e+05,111688.3515625,11688.3515625
"haley peters","CON","F-G",78831,89986.8984375,11155.8984375
"marina mabrey","CON","G",210000,221029.25,11029.25
"sug sutton","WAS","G",78831,89522.03125,10691.03125
"aari mcdonald","IND","G",52333,62892.15234375,10559.15234375
"ariel atkins","CHI","G",2e+05,210182.484375,10182.484375
"janelle salaun","GSV","F",66079,76203.3203125,10124.3203125
"laeticia amihere","GSV","F",53307,62528.82421875,9221.82421875
"jacy sheldon","CON","G",74909,83677.2890625,8768.2890625
"sophie cunningham","IND","G",1e+05,108692.046875,8692.046875
"grace berger","LAS","G",1666,9780.5654296875,8114.5654296875
"aaliyah edwards","WAS","F",74909,83019.0625,8110.0625
"rebekah gardner","NYL","G",66079,73720.2421875,7641.2421875
"natasha howard","IND","F",214466,221901.46875,7435.46875
"marquesha davis","NYL","G",71753,79068.4921875,7315.4921875
"haley jones","DAL","F-G",36233,42995.625,6762.625
"breanna stewart","NYL","F",208400,214970.546875,6570.546875
"lucy olsen","WAS","G",69267,75604.40625,6337.40625
"leonie fiebich","NYL","F",68595,74884.2265625,6289.2265625
"damiris dantas","IND","C-F",1e+05,106134.71875,6134.71875
"tiffany hayes","GSV","G",2e+05,206070.125,6070.125
"courtney williams","MIN","G",180000,185566.640625,5566.640625
"jaylyn sherrod","NYL","G",66079,71262.3828125,5183.3828125
"jade melbourne","WAS","G",66710,71452.9609375,4742.9609375
"sika kone","WAS","F",66710,71452.9609375,4742.9609375
"courtney vandersloot","CHI","G",185000,189621.875,4621.875
"makayla timpson","IND","F-C",69267,73866.1015625,4599.1015625
